mV,mV,mV,mV,mV
-2.898207652,-1.898207652,-0.898207652,0.101792348,1.101792348
-2.892077314,-1.892077314,-0.892077314,0.107922686,1.107922686
-2.877652988,-1.877652988,-0.877652988,0.122347012,1.122347012
-3.038123612,-2.038123612,-1.038123612,-0.038123612,0.961876388
-3.052547938,-2.052547938,-1.052547938,-0.052547938,0.947452062
-3.052547938,-2.052547938,-1.052547938,-0.052547938,0.947452062
-3.052547938,-2.052547938,-1.052547938,-0.052547938,0.947452062
-3.052547938,-2.052547938,-1.052547938,-0.052547938,0.947452062
-3.248718768,-2.248718768,-1.248718768,-0.248718768,0.751281232
-3.269994649,-2.269994649,-1.269994649,-0.269994649,0.730005351
-3.269994649,-2.269994649,-1.269994649,-0.269994649,0.730005351
-3.269994649,-2.269994649,-1.269994649,-0.269994649,0.730005351
-3.269994649,-2.269994649,-1.269994649,-0.269994649,0.730005351
-3.269994649,-2.269994649,-1.269994649,-0.269994649,0.730005351
-3.269994649,-2.269994649,-1.269994649,-0.269994649,0.730005351
-3.269994649,-2.269994649,-1.269994649,-0.269994649,0.730005351
-3.020093205,-2.020093205,-1.020093205,-0.020093205,0.979906795
-2.924892655,-1.924892655,-0.924892655,0.075107345,1.075107345
-2.920925965,-1.920925965,-0.920925965,0.079074035,1.079074035
-2.897847044,-1.897847044,-0.897847044,0.102152956,1.102152956
-2.862146838,-1.862146838,-0.862146838,0.137853162,1.137853162
-2.858901365,-1.858901365,-0.858901365,0.141098635,1.141098635
-2.882340894,-1.882340894,-0.882340894,0.117659106,1.117659106
-2.968886849,-1.968886849,-0.968886849,0.031113151,1.031113151
-3.016126515,-2.016126515,-1.016126515,-0.016126515,0.983873485
-3.046056991,-2.046056991,-1.046056991,-0.046056991,0.953943009
-3.091854226,-2.091854226,-1.091854226,-0.091854226,0.908145774
-3.175515315,-2.175515315,-1.175515315,-0.175515315,0.824484685
-3.22311559,-2.22311559,-1.22311559,-0.22311559,0.77688441
-3.237179308,-2.237179308,-1.237179308,-0.237179308,0.762820692
-3.261340053,-2.261340053,-1.261340053,-0.261340053,0.738659947
-3.264946135,-2.264946135,-1.264946135,-0.264946135,0.735053865
-3.218427684,-2.218427684,-1.218427684,-0.218427684,0.781572316
-3.101951254,-2.101951254,-1.101951254,-0.101951254,0.898048746
-3.081035981,-2.081035981,-1.081035981,-0.081035981,0.918964019
-3.033796314,-2.033796314,-1.033796314,-0.033796314,0.966203686
-2.919844141,-1.919844141,-0.919844141,0.080155859,1.080155859
-2.878013596,-1.878013596,-0.878013596,0.121986404,1.121986404
-2.878013596,-1.878013596,-0.878013596,0.121986404,1.121986404
-2.878013596,-1.878013596,-0.878013596,0.121986404,1.121986404
-2.878013596,-1.878013596,-0.878013596,0.121986404,1.121986404
-2.799401021,-1.799401021,-0.799401021,0.200598979,1.200598979
-2.862868054,-1.862868054,-0.862868054,0.137131946,1.137131946
-2.963477726,-1.963477726,-0.963477726,0.036522274,1.036522274
-3.002784014,-2.002784014,-1.002784014,-0.002784014,0.997215986
-3.002784014,-2.002784014,-1.002784014,-0.002784014,0.997215986
-3.002784014,-2.002784014,-1.002784014,-0.002784014,0.997215986
-3.002784014,-2.002784014,-1.002784014,-0.002784014,0.997215986
-3.002784014,-2.002784014,-1.002784014,-0.002784014,0.997215986
-3.002784014,-2.002784014,-1.002784014,-0.002784014,0.997215986
-3.207248832,-2.207248832,-1.207248832,-0.207248832,0.792751168
-3.231770185,-2.231770185,-1.231770185,-0.231770185,0.768229815
-3.19210329,-2.19210329,-1.19210329,-0.19210329,0.80789671
-3.119981661,-2.119981661,-1.119981661,-0.119981661,0.880018339
-3.064087399,-2.064087399,-1.064087399,-0.064087399,0.935912601
-3.064087399,-2.064087399,-1.064087399,-0.064087399,0.935912601
-3.064087399,-2.064087399,-1.064087399,-0.064087399,0.935912601
-3.064087399,-2.064087399,-1.064087399,-0.064087399,0.935912601
-2.857458932,-1.857458932,-0.857458932,0.142541068,1.142541068
-2.846640688,-1.846640688,-0.846640688,0.153359312,1.153359312
-2.814907171,-1.814907171,-0.814907171,0.185092829,1.185092829
-2.815988996,-1.815988996,-0.815988996,0.184011004,1.184011004
-2.815988996,-1.815988996,-0.815988996,0.184011004,1.184011004
-2.849886161,-1.849886161,-0.849886161,0.150113839,1.150113839
-2.94148063,-1.94148063,-0.94148063,0.05851937,1.05851937
-3.015765907,-2.015765907,-1.015765907,-0.015765907,0.984234093
-3.079593549,-2.079593549,-1.079593549,-0.079593549,0.920406451
-3.171548625,-2.171548625,-1.171548625,-0.171548625,0.828451375
-3.196069979,-2.196069979,-1.196069979,-0.196069979,0.803930021
-3.20183971,-2.20183971,-1.20183971,-0.20183971,0.79816029
-3.235015659,-2.235015659,-1.235015659,-0.235015659,0.764984341
-3.240064173,-2.240064173,-1.240064173,-0.240064173,0.759935827
-3.230327753,-2.230327753,-1.230327753,-0.230327753,0.769672247
-3.141978758,-2.141978758,-1.141978758,-0.141978758,0.858021242
-3.072381386,-2.072381386,-1.072381386,-0.072381386,0.927618614
-3.07166017,-2.07166017,-1.07166017,-0.07166017,0.92833983
-3.021535638,-2.021535638,-1.021535638,-0.021535638,0.978464362
-2.91227137,-1.91227137,-0.91227137,0.08772863,1.08772863
-2.88125907,-1.88125907,-0.88125907,0.11874093,1.11874093
-2.860704405,-1.860704405,-0.860704405,0.139295595,1.139295595
-2.825725415,-1.825725415,-0.825725415,0.174274585,1.174274585
-2.825725415,-1.825725415,-0.825725415,0.174274585,1.174274585
-2.792549466,-1.792549466,-0.792549466,0.207450534,1.207450534
-2.826086024,-1.826086024,-0.826086024,0.173913976,1.173913976
-2.894240963,-1.894240963,-0.894240963,0.105759037,1.105759037
-2.97249293,-1.97249293,-0.97249293,0.02750707,1.02750707
-3.021535638,-2.021535638,-1.021535638,-0.021535638,0.978464362
-3.1084422,-2.1084422,-1.1084422,-0.1084422,0.8915578
-3.1084422,-2.1084422,-1.1084422,-0.1084422,0.8915578
-3.1084422,-2.1084422,-1.1084422,-0.1084422,0.8915578
-3.1084422,-2.1084422,-1.1084422,-0.1084422,0.8915578
-3.198594236,-2.198594236,-1.198594236,-0.198594236,0.801405764
-3.214100386,-2.214100386,-1.214100386,-0.214100386,0.785899614
-3.214100386,-2.214100386,-1.214100386,-0.214100386,0.785899614
-3.214100386,-2.214100386,-1.214100386,-0.214100386,0.785899614
-3.214100386,-2.214100386,-1.214100386,-0.214100386,0.785899614
-3.214100386,-2.214100386,-1.214100386,-0.214100386,0.785899614
-3.214100386,-2.214100386,-1.214100386,-0.214100386,0.785899614
-3.214100386,-2.214100386,-1.214100386,-0.214100386,0.785899614
-2.816349604,-1.816349604,-0.816349604,0.183650396,1.183650396
-2.820316293,-1.820316293,-0.820316293,0.179683707,1.179683707
-2.798679805,-1.798679805,-0.798679805,0.201320195,1.201320195
-2.77812514,-1.77812514,-0.77812514,0.22187486,1.22187486
-2.787500952,-1.787500952,-0.787500952,0.212499048,1.212499048
-2.821398118,-1.821398118,-0.821398118,0.178601882,1.178601882
-2.934629075,-1.934629075,-0.934629075,0.065370925,1.065370925
-2.980065701,-1.980065701,-0.980065701,0.019934299,1.019934299
-3.002423406,-2.002423406,-1.002423406,-0.002423406,0.997576594
-3.106999768,-2.106999768,-1.106999768,-0.106999768,0.893000232
-3.172269842,-2.172269842,-1.172269842,-0.172269842,0.827730158
-3.180203221,-2.180203221,-1.180203221,-0.180203221,0.819796779
-3.206167007,-2.206167007,-1.206167007,-0.206167007,0.793832993
-3.2191489,-2.2191489,-1.2191489,-0.2191489,0.7808511
-3.229606537,-2.229606537,-1.229606537,-0.229606537,0.770393463
-3.183448694,-2.183448694,-1.183448694,-0.183448694,0.816551306
-3.07166017,-2.07166017,-1.07166017,-0.07166017,0.92833983
-3.048941856,-2.048941856,-1.048941856,-0.048941856,0.951058144
-3.007832528,-2.007832528,-1.007832528,-0.007832528,0.992167472
-2.953380698,-1.953380698,-0.953380698,0.046619302,1.046619302
-2.953380698,-1.953380698,-0.953380698,0.046619302,1.046619302
-2.953380698,-1.953380698,-0.953380698,0.046619302,1.046619302
-2.953380698,-1.953380698,-0.953380698,0.046619302,1.046619302
-2.818152644,-1.818152644,-0.818152644,0.181847356,1.181847356
-2.818152644,-1.818152644,-0.818152644,0.181847356,1.181847356
-2.818152644,-1.818152644,-0.818152644,0.181847356,1.181847356
-2.895683395,-1.895683395,-0.895683395,0.104316605,1.104316605
-2.949414009,-1.949414009,-0.949414009,0.050585991,1.050585991
-2.960232253,-1.960232253,-0.960232253,0.039767747,1.039767747
-3.051466114,-2.051466114,-1.051466114,-0.051466114,0.948533886
