mV,mV,no units,yyyy/mm/dd hh:mm:ss.000
4.151254819,-1.975615711,128,36:00.7
4.151254819,-1.975615711,128,36:00.7
4.138945687,-1.947920164,128,36:00.7
4.138945687,-1.947920164,128,36:00.7
4.132791121,-1.920224616,128,36:00.7
4.132791121,-1.920224616,128,36:00.7
4.138945687,-1.91407005,128,36:00.7
4.138945687,-1.91407005,128,36:00.7
4.123559272,-1.920224616,128,36:00.7
4.123559272,-1.920224616,128,36:00.7
4.102018291,-1.932533748,128,36:00.7
4.102018291,-1.932533748,128,36:00.7
4.102018291,-1.932533748,128,36:00.7
4.102018291,-1.932533748,128,36:00.7
4.11125014,-1.941765598,128,36:00.7
4.11125014,-1.941765598,128,36:00.7
4.108172857,-1.947920164,128,36:00.7
4.108172857,-1.947920164,128,36:00.7
4.083554593,-1.941765598,128,36:00.7
4.083554593,-1.941765598,128,36:00.7
4.098941008,-1.944842881,128,36:00.7
4.098941008,-1.944842881,128,36:00.7
4.086631876,-1.960229296,128,36:00.7
4.086631876,-1.960229296,128,36:00.7
4.077400026,-1.960229296,128,36:00.7
4.077400026,-1.960229296,128,36:00.7
4.080477309,-1.978692994,128,36:00.7
4.080477309,-1.978692994,128,36:00.7
4.086631876,-1.978692994,128,36:00.7
4.086631876,-1.978692994,128,36:00.7
4.086631876,-1.978692994,128,36:00.7
4.098941008,-1.963306579,128,36:00.7
4.098941008,-1.963306579,128,36:00.7
4.077400026,-1.969461145,128,36:00.7
4.077400026,-1.969461145,128,36:00.7
4.07124546,-1.960229296,128,36:00.7
4.07124546,-1.960229296,128,36:00.7
4.077400026,-1.950997447,128,36:00.7
4.077400026,-1.950997447,128,36:00.7
4.080477309,-1.947920164,128,36:00.7
4.080477309,-1.947920164,128,36:00.7
4.080477309,-1.929456465,128,36:00.7
4.080477309,-1.929456465,128,36:00.7
4.083554593,-1.929456465,128,36:00.7
4.083554593,-1.929456465,128,36:00.7
4.074322743,-1.941765598,128,36:00.7
4.074322743,-1.941765598,128,36:00.8
4.07124546,-1.95407473,128,36:00.8
4.07124546,-1.95407473,128,36:00.8
4.083554593,-1.963306579,128,36:00.8
4.083554593,-1.963306579,128,36:00.8
4.083554593,-1.963306579,128,36:00.8
4.083554593,-1.963306579,128,36:00.8
4.083554593,-1.963306579,128,36:00.8
4.083554593,-1.963306579,128,36:00.8
4.077400026,-1.957152013,128,36:00.8
4.077400026,-1.957152013,128,36:00.8
4.062013611,-1.957152013,128,36:00.8
4.062013611,-1.957152013,128,36:00.8
4.062013611,-1.969461145,128,36:00.8
4.062013611,-1.969461145,128,36:00.8
4.077400026,-1.981770277,128,36:00.8
4.077400026,-1.981770277,128,36:00.8
4.074322743,-1.969461145,128,36:00.8
4.074322743,-1.969461145,128,36:00.8
4.065090894,-1.95407473,128,36:00.8
4.065090894,-1.95407473,128,36:00.8
4.07124546,-1.95407473,128,36:00.8
4.07124546,-1.95407473,128,36:00.8
4.07124546,-1.95407473,128,36:00.8
4.077400026,-1.966383862,128,36:00.8
4.077400026,-1.966383862,128,36:00.8
