mV,m/(s^2),m/(s^2),m/(s^2),kOhms,BPM,yyyy/mm/dd hh:mm:ss.000
1180.952381,6.156626506,-0.228915663,7.734939759,1257.458616,-1,51:15.3
1175.824176,6.13253012,-0.240963855,7.746987952,1257.458616,-1,51:15.3
1171.428571,6.120481928,-0.21686747,7.746987952,1258.179741,-1,51:15.3
1168.498168,6.144578313,-0.228915663,7.734939759,1257.458616,-1,51:15.3
1169.230769,6.168674699,-0.240963855,7.734939759,1258.179741,-1,51:15.3
1171.428571,6.168674699,-0.204819277,7.734939759,1257.458616,-1,51:15.3
1172.161172,6.156626506,-0.228915663,7.734939759,1258.179741,-1,51:15.3
1172.161172,6.156626506,-0.228915663,7.734939759,1258.179741,-1,51:15.3
1170.695971,6.13253012,-0.253012048,7.734939759,1258.179741,-1,51:15.3
1167.032967,6.144578313,-0.228915663,7.734939759,1258.179741,-1,51:15.4
1167.032967,6.120481928,-0.228915663,7.734939759,1258.179741,-1,51:15.4
1164.835165,6.144578313,-0.228915663,7.734939759,1258.179741,-1,51:15.4
1162.637363,6.144578313,-0.228915663,7.734939759,1258.901694,-1,51:15.4
1159.70696,6.156626506,-0.228915663,7.734939759,1258.179741,-1,51:15.4
1156.776557,6.168674699,-0.240963855,7.722891566,1257.458616,-1,51:15.4
1155.311355,6.180722892,-0.21686747,7.710843373,1258.179741,-1,51:15.4
1153.846154,6.144578313,-0.240963855,7.734939759,1258.901694,-1,51:15.4
1153.846154,6.13253012,-0.240963855,7.746987952,1258.901694,-1,51:15.4
1153.846154,6.13253012,-0.21686747,7.734939759,1258.901694,-1,51:15.4
1154.578755,6.144578313,-0.228915663,7.746987952,1258.179741,-1,51:15.4
1155.311355,6.144578313,-0.240963855,7.734939759,1258.179741,-1,51:15.4
1156.043956,6.168674699,-0.228915663,7.698795181,1258.179741,-1,51:15.4
1158.241758,6.180722892,-0.204819277,7.734939759,1258.901694,-1,51:15.5
1158.974359,6.156626506,-0.204819277,7.734939759,1258.179741,-1,51:15.5
1158.974359,6.120481928,-0.204819277,7.722891566,1258.179741,-1,51:15.5
1159.70696,6.144578313,-0.228915663,7.746987952,1258.901694,-1,51:15.5
1158.974359,6.13253012,-0.253012048,7.746987952,1258.901694,-1,51:15.5
1159.70696,6.156626506,-0.240963855,7.746987952,1258.901694,-1,51:15.5
1159.70696,6.156626506,-0.253012048,7.746987952,1258.901694,-1,51:15.5
1158.241758,6.156626506,-0.204819277,7.746987952,1258.179741,-1,51:15.5
1156.776557,6.156626506,-0.192771084,7.722891566,1258.901694,-1,51:15.5
1153.113553,6.156626506,-0.204819277,7.710843373,1258.179741,-1,51:15.5
1150.915751,6.144578313,-0.21686747,7.734939759,1258.901694,-1,51:15.5
1151.648352,6.144578313,-0.240963855,7.722891566,1258.901694,-1,51:15.5
1153.113553,6.144578313,-0.240963855,7.746987952,1258.901694,-1,51:15.5
1158.241758,6.144578313,-0.228915663,7.746987952,1258.901694,-1,51:15.6
1168.498168,6.156626506,-0.240963855,7.734939759,1258.901694,-1,51:15.6
1181.684982,6.180722892,-0.204819277,7.722891566,1258.901694,-1,51:15.6
1198.534799,6.180722892,-0.180722892,7.722891566,1258.901694,-1,51:15.6
1221.245421,6.192771084,-0.192771084,7.722891566,1258.901694,-1,51:15.6
1250.549451,6.192771084,-0.228915663,7.710843373,1259.624476,-1,51:15.6
1287.912088,6.156626506,-0.21686747,7.662650602,1259.624476,-1,51:15.6
1334.065934,6.108433735,-0.21686747,7.746987952,1259.624476,-1,51:15.6
1389.74359,6.120481928,-0.253012048,7.831325301,1258.901694,-1,51:15.6
1451.282051,6.192771084,-0.265060241,7.771084337,1258.901694,-1,51:15.6
1517.216117,6.144578313,-0.228915663,7.710843373,1258.901694,-1,51:15.6
1583.882784,6.108433735,-0.192771084,7.759036145,1259.624476,-1,51:15.6
